Album,Link,Title,Year,Lyrics,Artist
Señor and the Queen - EP,https:https://songmeanings.com/songs/view/3530822107858712581/,Senor and the Queen,2008,"Let it ride, let it ride, let it roll off your mind
Don't say a single world, get back inside
Let me drive, let me drive, disappear in the night
Like I was a ghost in your dreams

And it was all completely wrong, Virginia
You were much too much for me
I was a boy on the lawn, with his eyes to the sky
You were Garbo, smoke, and deceit

And it was Saturday, September, and fire
It was a backdrop set in your smile
It was all I could want in the sway of the song
I was haunted for so many years

Let it ride, let it ride, let it roll off your mind
Don't say a single world, get back inside
Let me drive, let me drive, disappear in the night
Like I was a ghost in your dreams

Say goodbye, say goodbye, give a kiss and a sigh
Never, never, never bring me back to your mind
Let it slide, slide, roll off your mind
Like I was a movie you'd seen

And it was all just a crime, Virginia
Let your fire be mercy to me
I was a boy in your arms, safe in your arms
And you swore like a promise to me

That I would never, never, never leave your heart
No I would never, never, never leave your heart
But where are you now, I can still feel you now 
And I hear all your songs in the breeze

Let it ride, let it ride, let it roll off your mind
Don't say a single world, get back inside
Let me drive, let me drive, disappear in the night
Like I was a ghost in your dreams

Say goodbye, say goodbye, give a kiss and a sigh
Never, never, never bring me back to your mind
Let me slide, slide, roll off your mind
Like I was a movie you'd seen

Let it ride
",The Gaslight Anthem
Señor and the Queen - EP,https:https://songmeanings.com/songs/view/3530822107858712582/,"Wherefore Art Thou, Elvis?",2008,"Let it ride, let it ride, let it roll off your mind
Don't say a single world, get back inside
Let me drive, let me drive, disappear in the night
Like I was a ghost in your dreams

And it was all completely wrong, Virginia
You were much too much for me
I was a boy on the lawn, with his eyes to the sky
You were Garbo, smoke, and deceit

And it was Saturday, September, and fire
It was a backdrop set in your smile
It was all I could want in the sway of the song
I was haunted for so many years

Let it ride, let it ride, let it roll off your mind
Don't say a single world, get back inside
Let me drive, let me drive, disappear in the night
Like I was a ghost in your dreams

Say goodbye, say goodbye, give a kiss and a sigh
Never, never, never bring me back to your mind
Let it slide, slide, roll off your mind
Like I was a movie you'd seen

And it was all just a crime, Virginia
Let your fire be mercy to me
I was a boy in your arms, safe in your arms
And you swore like a promise to me

That I would never, never, never leave your heart
No I would never, never, never leave your heart
But where are you now, I can still feel you now 
And I hear all your songs in the breeze

Let it ride, let it ride, let it roll off your mind
Don't say a single world, get back inside
Let me drive, let me drive, disappear in the night
Like I was a ghost in your dreams

Say goodbye, say goodbye, give a kiss and a sigh
Never, never, never bring me back to your mind
Let me slide, slide, roll off your mind
Like I was a movie you'd seen

Let it ride
",The Gaslight Anthem
Señor and the Queen - EP,https:https://songmeanings.com/songs/view/3530822107858712583/,Say I Won't (Recognize),2008,"Let it ride, let it ride, let it roll off your mind
Don't say a single world, get back inside
Let me drive, let me drive, disappear in the night
Like I was a ghost in your dreams

And it was all completely wrong, Virginia
You were much too much for me
I was a boy on the lawn, with his eyes to the sky
You were Garbo, smoke, and deceit

And it was Saturday, September, and fire
It was a backdrop set in your smile
It was all I could want in the sway of the song
I was haunted for so many years

Let it ride, let it ride, let it roll off your mind
Don't say a single world, get back inside
Let me drive, let me drive, disappear in the night
Like I was a ghost in your dreams

Say goodbye, say goodbye, give a kiss and a sigh
Never, never, never bring me back to your mind
Let it slide, slide, roll off your mind
Like I was a movie you'd seen

And it was all just a crime, Virginia
Let your fire be mercy to me
I was a boy in your arms, safe in your arms
And you swore like a promise to me

That I would never, never, never leave your heart
No I would never, never, never leave your heart
But where are you now, I can still feel you now 
And I hear all your songs in the breeze

Let it ride, let it ride, let it roll off your mind
Don't say a single world, get back inside
Let me drive, let me drive, disappear in the night
Like I was a ghost in your dreams

Say goodbye, say goodbye, give a kiss and a sigh
Never, never, never bring me back to your mind
Let me slide, slide, roll off your mind
Like I was a movie you'd seen

Let it ride
",The Gaslight Anthem
Señor and the Queen - EP,https:https://songmeanings.com/songs/view/3530822107858706540/,Blue Jeans and White T-Shirts,2008,"Let it ride, let it ride, let it roll off your mind
Don't say a single world, get back inside
Let me drive, let me drive, disappear in the night
Like I was a ghost in your dreams

And it was all completely wrong, Virginia
You were much too much for me
I was a boy on the lawn, with his eyes to the sky
You were Garbo, smoke, and deceit

And it was Saturday, September, and fire
It was a backdrop set in your smile
It was all I could want in the sway of the song
I was haunted for so many years

Let it ride, let it ride, let it roll off your mind
Don't say a single world, get back inside
Let me drive, let me drive, disappear in the night
Like I was a ghost in your dreams

Say goodbye, say goodbye, give a kiss and a sigh
Never, never, never bring me back to your mind
Let it slide, slide, roll off your mind
Like I was a movie you'd seen

And it was all just a crime, Virginia
Let your fire be mercy to me
I was a boy in your arms, safe in your arms
And you swore like a promise to me

That I would never, never, never leave your heart
No I would never, never, never leave your heart
But where are you now, I can still feel you now 
And I hear all your songs in the breeze

Let it ride, let it ride, let it roll off your mind
Don't say a single world, get back inside
Let me drive, let me drive, disappear in the night
Like I was a ghost in your dreams

Say goodbye, say goodbye, give a kiss and a sigh
Never, never, never bring me back to your mind
Let me slide, slide, roll off your mind
Like I was a movie you'd seen

Let it ride
",The Gaslight Anthem
Sink or Swim,https:https://songmeanings.com/songs/view/3530822107858671009/,Boomboxes and Dictionaries,2008,"Let it ride, let it ride, let it roll off your mind
Don't say a single world, get back inside
Let me drive, let me drive, disappear in the night
Like I was a ghost in your dreams

And it was all completely wrong, Virginia
You were much too much for me
I was a boy on the lawn, with his eyes to the sky
You were Garbo, smoke, and deceit

And it was Saturday, September, and fire
It was a backdrop set in your smile
It was all I could want in the sway of the song
I was haunted for so many years

Let it ride, let it ride, let it roll off your mind
Don't say a single world, get back inside
Let me drive, let me drive, disappear in the night
Like I was a ghost in your dreams

Say goodbye, say goodbye, give a kiss and a sigh
Never, never, never bring me back to your mind
Let it slide, slide, roll off your mind
Like I was a movie you'd seen

And it was all just a crime, Virginia
Let your fire be mercy to me
I was a boy in your arms, safe in your arms
And you swore like a promise to me

That I would never, never, never leave your heart
No I would never, never, never leave your heart
But where are you now, I can still feel you now 
And I hear all your songs in the breeze

Let it ride, let it ride, let it roll off your mind
Don't say a single world, get back inside
Let me drive, let me drive, disappear in the night
Like I was a ghost in your dreams

Say goodbye, say goodbye, give a kiss and a sigh
Never, never, never bring me back to your mind
Let me slide, slide, roll off your mind
Like I was a movie you'd seen

Let it ride
",The Gaslight Anthem
Sink or Swim,https:https://songmeanings.com/songs/view/3530822107858671144/,I Coulda Been a Contender,2008,"Let it ride, let it ride, let it roll off your mind
Don't say a single world, get back inside
Let me drive, let me drive, disappear in the night
Like I was a ghost in your dreams

And it was all completely wrong, Virginia
You were much too much for me
I was a boy on the lawn, with his eyes to the sky
You were Garbo, smoke, and deceit

And it was Saturday, September, and fire
It was a backdrop set in your smile
It was all I could want in the sway of the song
I was haunted for so many years

Let it ride, let it ride, let it roll off your mind
Don't say a single world, get back inside
Let me drive, let me drive, disappear in the night
Like I was a ghost in your dreams

Say goodbye, say goodbye, give a kiss and a sigh
Never, never, never bring me back to your mind
Let it slide, slide, roll off your mind
Like I was a movie you'd seen

And it was all just a crime, Virginia
Let your fire be mercy to me
I was a boy in your arms, safe in your arms
And you swore like a promise to me

That I would never, never, never leave your heart
No I would never, never, never leave your heart
But where are you now, I can still feel you now 
And I hear all your songs in the breeze

Let it ride, let it ride, let it roll off your mind
Don't say a single world, get back inside
Let me drive, let me drive, disappear in the night
Like I was a ghost in your dreams

Say goodbye, say goodbye, give a kiss and a sigh
Never, never, never bring me back to your mind
Let me slide, slide, roll off your mind
Like I was a movie you'd seen

Let it ride
",The Gaslight Anthem
Sink or Swim,https:https://songmeanings.com/songs/view/3530822107858671145/,Wooderson,2008,"Let it ride, let it ride, let it roll off your mind
Don't say a single world, get back inside
Let me drive, let me drive, disappear in the night
Like I was a ghost in your dreams

And it was all completely wrong, Virginia
You were much too much for me
I was a boy on the lawn, with his eyes to the sky
You were Garbo, smoke, and deceit

And it was Saturday, September, and fire
It was a backdrop set in your smile
It was all I could want in the sway of the song
I was haunted for so many years

Let it ride, let it ride, let it roll off your mind
Don't say a single world, get back inside
Let me drive, let me drive, disappear in the night
Like I was a ghost in your dreams

Say goodbye, say goodbye, give a kiss and a sigh
Never, never, never bring me back to your mind
Let it slide, slide, roll off your mind
Like I was a movie you'd seen

And it was all just a crime, Virginia
Let your fire be mercy to me
I was a boy in your arms, safe in your arms
And you swore like a promise to me

That I would never, never, never leave your heart
No I would never, never, never leave your heart
But where are you now, I can still feel you now 
And I hear all your songs in the breeze

Let it ride, let it ride, let it roll off your mind
Don't say a single world, get back inside
Let me drive, let me drive, disappear in the night
Like I was a ghost in your dreams

Say goodbye, say goodbye, give a kiss and a sigh
Never, never, never bring me back to your mind
Let me slide, slide, roll off your mind
Like I was a movie you'd seen

Let it ride
",The Gaslight Anthem
Sink or Swim,https:https://songmeanings.com/songs/view/3530822107858671146/,We Came to Dance,2008,"Let it ride, let it ride, let it roll off your mind
Don't say a single world, get back inside
Let me drive, let me drive, disappear in the night
Like I was a ghost in your dreams

And it was all completely wrong, Virginia
You were much too much for me
I was a boy on the lawn, with his eyes to the sky
You were Garbo, smoke, and deceit

And it was Saturday, September, and fire
It was a backdrop set in your smile
It was all I could want in the sway of the song
I was haunted for so many years

Let it ride, let it ride, let it roll off your mind
Don't say a single world, get back inside
Let me drive, let me drive, disappear in the night
Like I was a ghost in your dreams

Say goodbye, say goodbye, give a kiss and a sigh
Never, never, never bring me back to your mind
Let it slide, slide, roll off your mind
Like I was a movie you'd seen

And it was all just a crime, Virginia
Let your fire be mercy to me
I was a boy in your arms, safe in your arms
And you swore like a promise to me

That I would never, never, never leave your heart
No I would never, never, never leave your heart
But where are you now, I can still feel you now 
And I hear all your songs in the breeze

Let it ride, let it ride, let it roll off your mind
Don't say a single world, get back inside
Let me drive, let me drive, disappear in the night
Like I was a ghost in your dreams

Say goodbye, say goodbye, give a kiss and a sigh
Never, never, never bring me back to your mind
Let me slide, slide, roll off your mind
Like I was a movie you'd seen

Let it ride
",The Gaslight Anthem
Sink or Swim,https:https://songmeanings.com/songs/view/3530822107858671147/,1930,2008,"Let it ride, let it ride, let it roll off your mind
Don't say a single world, get back inside
Let me drive, let me drive, disappear in the night
Like I was a ghost in your dreams

And it was all completely wrong, Virginia
You were much too much for me
I was a boy on the lawn, with his eyes to the sky
You were Garbo, smoke, and deceit

And it was Saturday, September, and fire
It was a backdrop set in your smile
It was all I could want in the sway of the song
I was haunted for so many years

Let it ride, let it ride, let it roll off your mind
Don't say a single world, get back inside
Let me drive, let me drive, disappear in the night
Like I was a ghost in your dreams

Say goodbye, say goodbye, give a kiss and a sigh
Never, never, never bring me back to your mind
Let it slide, slide, roll off your mind
Like I was a movie you'd seen

And it was all just a crime, Virginia
Let your fire be mercy to me
I was a boy in your arms, safe in your arms
And you swore like a promise to me

That I would never, never, never leave your heart
No I would never, never, never leave your heart
But where are you now, I can still feel you now 
And I hear all your songs in the breeze

Let it ride, let it ride, let it roll off your mind
Don't say a single world, get back inside
Let me drive, let me drive, disappear in the night
Like I was a ghost in your dreams

Say goodbye, say goodbye, give a kiss and a sigh
Never, never, never bring me back to your mind
Let me slide, slide, roll off your mind
Like I was a movie you'd seen

Let it ride
",The Gaslight Anthem
Sink or Swim,https:https://songmeanings.com/songs/view/3530822107858671237/,The Navesink Banks,2008,"Let it ride, let it ride, let it roll off your mind
Don't say a single world, get back inside
Let me drive, let me drive, disappear in the night
Like I was a ghost in your dreams

And it was all completely wrong, Virginia
You were much too much for me
I was a boy on the lawn, with his eyes to the sky
You were Garbo, smoke, and deceit

And it was Saturday, September, and fire
It was a backdrop set in your smile
It was all I could want in the sway of the song
I was haunted for so many years

Let it ride, let it ride, let it roll off your mind
Don't say a single world, get back inside
Let me drive, let me drive, disappear in the night
Like I was a ghost in your dreams

Say goodbye, say goodbye, give a kiss and a sigh
Never, never, never bring me back to your mind
Let it slide, slide, roll off your mind
Like I was a movie you'd seen

And it was all just a crime, Virginia
Let your fire be mercy to me
I was a boy in your arms, safe in your arms
And you swore like a promise to me

That I would never, never, never leave your heart
No I would never, never, never leave your heart
But where are you now, I can still feel you now 
And I hear all your songs in the breeze

Let it ride, let it ride, let it roll off your mind
Don't say a single world, get back inside
Let me drive, let me drive, disappear in the night
Like I was a ghost in your dreams

Say goodbye, say goodbye, give a kiss and a sigh
Never, never, never bring me back to your mind
Let me slide, slide, roll off your mind
Like I was a movie you'd seen

Let it ride
",The Gaslight Anthem
