Album,Link,Title,Year,Artist,Lyrics
Señor and the Queen - EP,https://songmeanings.com/songs/view/3530822107858712581/,Senor and the Queen,2008,The Gaslight Anthem,"I wanna know how you dance pretty baby, by the light of the moon
Do you carry your lovers around in a heart like a tomb with a view?
I wanna know how you lose, pretty baby, does it show in your eyes?
Were you born to be a runner, or are you a casual sigh?
Did the boys at school break your precious heart in two?

And in every sad, sad country song
Is there a little bitty piece of 'em still hanging on?
You tell me yours and I'll tell you mine, my dear
And we'll bury these old ghosts here

Where'd you get those eyes?

What do you see with those eyes, pretty darling, in the dead of the night?
Are you saying your prayers or are you glowing like the metal on the edge of the knife?
Baby whose name sounds right on the lips of my queen?
Am I speaking in riddles, or do you feel what I mean?
Are you dying to move, or are you dying to be the one moved?

And would you shake, shake, shake, shake, shake Senora?
If I could make you feel like he used to make you feel
I'll swing you a song and I'll dance you a dance right now

And would you shake, shake, shake, shake, shake Senora?
If I could make you feel like he used to make you feel
I'll swing you a song and I'll dance you a dance right now
And we'll bury these old ghosts down

We'll bury these old ghosts down
Down, down, down
Down, darlin', down
Down, down
"
Señor and the Queen - EP,https://songmeanings.com/songs/view/3530822107858712582/,"Wherefore Art Thou, Elvis?",2008,The Gaslight Anthem,"I cut my teeth on the stone of a teenage romance
I was the salt of the earth, I was hard 
The last of the independents

And in the breath from my chest I was blowing kerosene
My lips and fingertips were stone, I wore my heart on my jeans
I sang the blues like the dogs left too long in the street
I still sing the blues with the dogs

And I got half a mind to let it all burn up in this fire
I've had burning through my veins since I first learned to cry
I'd watch this whole night come down and never miss her again
I never felt right and never fit in walkin' in my own skin

Walkin' in my own skin

Now I got scars like the number of stars 
My mind's full of vipers
I got the dust of the desert in my bones 
Comin' through the amplifiers

And in the minor chord fall and the fourth and the fifth
It's a broken Hallelujah and a pain in my fist
I wash my hands like the man with the blood on his teeth
Over and over without relief

And I got nothin' for you darlin' but a story to tell
About the rain on the pavement and the sound as it fell
I'd watch this whole night come down and never miss her again
I never felt right and never fit in

Walkin' in my old man shoes, with my scientist heart
I got a fever and a beaker and a shot in the dark
I need a Cadillac ride, I need a soft summer night
Say a prayer for my soul, Señorita

Walkin' in my old man shoes, with my scientist heart
I got a fever and a beaker and a shot in the dark
I need a Cadillac ride, I need a soft summer night
Say a prayer for my soul, Señorita

'Cause I've been dying out here in the cold and the snow
Got a picture of you, Mama, to remind me of home
On the hood of a Dodge on a Saturday night
Say a prayer for my soul, Señorita
"
Señor and the Queen - EP,https://songmeanings.com/songs/view/3530822107858712583/,Say I Won't (Recognize),2008,The Gaslight Anthem,"We're having a party, everybody's swingin'
Tonight won't you come down out of your tower?
Don't make me dance all night alone
Alright!

Call up your girlfriends to come out tonight
I'll call up my best friends to come out tonight
We'll put on our best shirts and finest cologne
And we'll turn the Casanova on

Come on out Maria and lose the tragic
Come on out Maria and I'll show you some magic
Meet on the warm sand and waltz out the twilight
And watch the carnival lights explode

We're having a party, everybody's swingin'
Tonight won't you come down out of your tower?
Don't make me dance all night alone

I've seen you from the window around
I can't get your perfume memory out
So come on before we get much older
And that can happen any one of these nights

Before we turn to ghosts on the mist on the sand
Or fall in line for more conducive plans
I never took a shot to the higher minds
But I can hold the soft waltz down

Meet me tonight
Let's see what can happen

We're having a party, everybody's swingin'
Tonight won't you come down out of your tower?
Don't make me dance all night alone

Cause everybody's shaking like the end of the world
And everybody's waiting on the end of the world
And I ain't got a friend, baby, left in the world
Don't make me dance all night alone

We're having a party, everybody's swingin'
Tonight won't you come down out of your tower?
Don't make me dance all night alone

Cause everybody's shaking like the end of the world
And everybody's waiting on the end of the world
And I ain't got a friend, baby, left in the world
Don't make me dance all night alone
"
Señor and the Queen - EP,https://songmeanings.com/songs/view/3530822107858706540/,Blue Jeans and White T-Shirts,2008,The Gaslight Anthem,"We are the boys from Little Eden
We are the heart of Saturday night
We drink from the fountains off the fireworks
Sweat and bone for a better life

We like our choruses sung together
We like our arms in our brothers' arms
Call every girl we ever met Maria
But I only love Virginia's heart

Still we sing with our heroes, 33 rounds per minute
We're never going home until the sun says we're finished
I'll love you forever if I ever love at all
Wild hearts, blue jeans, & white t-shirts

Some things baby never told you
Some things papa done ain't right
Spent a lifetime just to get over
You always said my mama tried

Still we sing with our heroes, 33 rounds per minute
We're never going home until the sun says we're finished
I'll love you forever if I ever love at all
With wild hearts, blue jeans, & white t-shirts

So tonight I'll call you from a Fourth Street payphone
We'll sleep on the beach if we ain't got a ride
Someday I'll buy you that house on Cookman
We could sleep on the beach all night

Sleep on the beach if we ain't got a ride
Sleep on the beach all night
Sleep on the beach all night
Sleep on the beach if we ain't got a ride
"
Sink or Swim,https://songmeanings.com/songs/view/3530822107858671009/,Boomboxes and Dictionaries,2008,The Gaslight Anthem,"I took a drive today
I thought about you
I thought about a friend who passed
And how much we just went through

I saw the sun shine off the hood of a Cadillac
I thought about some things I said
And some I would take back
I thought about how fortunate I feel to be alive

And if you're scared of the future tonight
We'll just take it each hour one at a time
It's a pretty good night for a drive
So dry up those eyes, dry up those eyes

Because the radio will still play loud
Songs that we heard as our guards came down
Like in the summertime when we first met
I'll never forget, and don't you forget
These nights are still ours

I still love the way you smile
I still love the ocean
We should remember to slow down more often
And maybe we will

Now here's a lot of good things coming our way right now
A lot of bad has passed 
But we survived the breakdowns
All is forgiven, water under bridges now

And if you're scared of the future tonight
We'll just take it each hour one at a time
It's a pretty good night for a drive
So dry up those eyes, dry up those eyes

Because the radio will still play loud
Songs that we heard as our guards came down
Like in the summertime when we first met
I'll never forget, and don't you forget
These nights are still ours
"
Sink or Swim,https://songmeanings.com/songs/view/3530822107858671144/,I Coulda Been a Contender,2008,The Gaslight Anthem,"I'm broke and I'm hungry, I'm hard up and I'm lonely
I've been dancing on this killing floor for years
And of the few things I am certain, I'm the captain of my burden
I'm sorry doll, I could never stop the rain

Once you said I was your hero
You would dance with me on a dime
We could spin this world right right right round
And catch back up on the flip side

I was gonna get this real big engine
I was gonna get them Broadway stars
You were gonna be my Judy Garland
We were gonna share your tin man heart

There's a dirty wind blowin', there's a storm front comin' in
There's an SOS on the seas tonight
Steady now, steady now, soldier, hold fast now
It's heads or tails and heart attacks and broken dreams tonight

We used to drive all night
All over town
We'd go waltzing Matilda
When Matilda came around

I sang them blues to you

There's a dirty wind blowin', there's a storm front comin' in
There's an SOS on the seas tonight
Steady now, steady now, soldier, hold fast now
It's heads or tails and heart attacks and broken dreams tonight

There's a dirty wind blowin', there's a storm front comin' in
There's an S-O-S on the seas tonight
Steady now, steady now, soldier, hold fast now
It's heads or tails and heart attacks and broken dreams

And heart attacks and broken dreams
Atlantis is my only dream tonight
"
Sink or Swim,https://songmeanings.com/songs/view/3530822107858671145/,Wooderson,2008,The Gaslight Anthem,"And tonight the coastline is quiet
It's quieter than it's ever been
Honey, this town is a prison
With its four walls closin' in

And they got one pill to make you smaller
They got one pill to make you scream
Darlin' this heart is on fire
And this life is but a dream

All right, all right

You see, this town pulls my heartstrings
I fell in love with the Shrewsbury stars
But there's far too many diamonds
In the backseats of borrowed cars

And I could never stop this burnin'
Honey, I can't tell no lies
I could never stand the weather
Darlin' this heart is on fire

All right, all right

Tonight, tonight, we're gonna ride like silver on the desolation moonlight
Tonight, tonight, we ain't comin' back until the morning light
Tonight, tonight, it's all right, all right
Tonight, tonight

All right, all right

Dance in my moonlight, my old friend the twilight
Dance in my moonlight, my old friend the twilight
Dance in my moonlight, my old friend the twilight
Dance in my moonlight, my old friend
"
Sink or Swim,https://songmeanings.com/songs/view/3530822107858671146/,We Came to Dance,2008,The Gaslight Anthem,"We are the last of the jukebox Romeos
We are romantics by the light of the four way
We came to sing out a chorus, reinvent the good times
And bring it all back home again

Honey, we came to dance with the girls with the stars in their eyes
Do the jump back, jack, stop and slide to the right
Never break their hearts, never make them cry, come on
Strike up the band, play a song that everybody knows
If I'm not your kind, then don't tell a soul
I'm not the one who hates bein' alone, so come on

And in this unstable arena
Of what's left or become of my America
I'm askin' this dance so come take my hand, come on
And in this unstable arena
Of what's left or become of my America
I'm askin' this dance so come take my hand, come on

Honey, we came to dance with the girls with the stars in their eyes
Do the jump back, jack, stop and slide to the right
Never break their hearts, never make them cry, come on
Strike up the band, play a song that everybody knows
If I'm not your kind, then don't tell a soul
I'm not the one who hates bein' alone, so come on

And if they end it all
By the end of tonight
If the big bomb drops down
Over this quiet Edison sky

We'll blow one last kiss
To all the beautiful nights like this
Under this central Jersey sky

Honey, we came to dance with the girls with the stars in their eyes
Do the jump back, jack, stop and slide to the right
Never break their hearts, never make them cry, come on
Strike up the band, play a song that everybody knows
If I'm not your kind, then don't tell a soul
I'm not the one who hates bein' alone, so come on

'Cause you ain't never had a night on the town
Like I can show you such a night on the town
And you ain't never had a song you could sing
Well it's a deep dark night and I hear you, I've been there

And these are the songs that we sing
Oh, these are the songs that we sing
You've never seen a two-step
Like when you've seen it from your mama's house

Where the kids flash like lightning
To the very best dancers around
We learned from the very best dancers around
We learned from the very best dancers in town
Come take my hand, cause mama, we came to dance
"
Sink or Swim,https://songmeanings.com/songs/view/3530822107858671147/,1930,2008,The Gaslight Anthem,"Give me mercy and a minute now
I'm a bleed a little poison out
I'm a cry a little river down
And then I'm setting this whole thing on fire

And I'm burning up the night she died
And I'm putting every last picture aside
I'm gonna say what I need to say
In my very last letter to you

'Cause you always made it clear
Said that you'd never be my pain
So here's to you and your bright baby blues
And just a pause to cool the refrain

And you said you were satisfied
And now this body's just waiting to die
And that you missed him sometimes but you said it's alright
It's just a whole lot harder alone

But I wish you knew her now
She's a better side of me now
And I'm doing the best I can
It's what you wanted

And I see you like you were there
And I know just how you'd smile
Mary, you looked just like it was 1930 that night

But here the days will eat you alive
But I won't give in tonight
You said it's not worth my time
And not to regard them

And not to settle just for piece of mind
But I can wait it out all night
If you'll just keep breathing

But Mary I found a sound
And this heart keeps pouring it out
And the glory hasn't come and it's probably gonna fade 
Like a tattoo that hides the shame 

And the reasons always fade
And the pain gets out some day
So I'm saying my goodbyes to your deep blue eyes
'Cause I don't know how to say, ""Stay still in the pain.
Stay still in the pain.""

But I wish you knew her now
She's a better side of me now
And I'm doing the best I can
It's what you wanted

And I see you like you were there
And I know just how you'd smile
Mary, you looked just like it was 1930 that night

If I recall the last thing you said to me
Before it broke up, before it took you from me
And you said, ""I love you more than the stars in the sky
But your name just escapes me tonight.""
"
Sink or Swim,https://songmeanings.com/songs/view/3530822107858671237/,The Navesink Banks,2008,The Gaslight Anthem,"All hope abandon, ye who enter here
Said the sign I read that was hangin' above her bed
And the sirens all were wailin', but a man can ignore the signs
Gotta keep a good eye on the windin' road ahead

And my first sin was a young American girl
My first sin was a young American girl

And I spent time 'neath the trestles
With the punks and the dime store saints
Kept faith and a switchblade stuffed beneath my coat
And I ran with dirty angels, slept out in the rain
We were scared and tired and barely 17

And my first sin was a fear that made me old
My first sin was a fear that made me old

Now I walk down by the shipyards
Near the place where I was born
Sayin' ""Oh, Maria, if you'da known me when""

But she only smiles
By the light on the Navesink banks
Sayin' ""Listen baby, I know you now""

Then she steps into the river
And I just stand by the moon
Thinkin' 'bout a ghost I hear at night

And she says ""Your first sin was a lie you told yourself""
""Your first sin was a lie you told yourself""
"
